term,simplified
Abses,kumpulan nanah
Abses hepar,abses hati
Abses paru-paru,kantung nanah di paru
Abses peritonsil,kantung nanah di amandel
Acute upper respiratory infection unspecified,infeksi saluran napas atas akut tak spesifik
Akut,jangka pendek
Alkylating agent,obat jenis Alkylating agent
Alpha-fetoprotein screening,Tes skrining Alpha-fetoprotein
Alveoli,kantung udara
Alzheimer,penyakit pikun
Amniosentesis,tes dengan mengambil sampel air ketuban
Amniotomi,tindakan memecahkan kantong ketuban
Amputasi,pemotongan anggota tubuh
Anamnesis,tanya jawab medis
Anemia,kurang darah
Anestesi,bius
Angiografi koroner,pemeriksaan aliran darah pembuluh darah jantung
Antagonis H2,obat jenis antagonis H2
Antagonis reseptor H2,obat jenis antagonis H2
Antasida,obat penetral asam lambung
Antibiotik,obat pembunuh bakteri
Antibiotik oral,antibiotik yang diminum
Antibiotik antitumor,obat jenis Antibiotik antitumor
Antidepresan,penenang
Antiemetik,obat antimual
Antihistamin tablet,obat minum antialergi
Antijamur,obat antijamur
Antimetabolit,obat jenis Antimetabolit
Antiparasit,obat pembasmi parasit
Antivirus,obat antivirus
Aritmia,gangguan irama jantung
Arteri karotis,pembuluh darah besar di leher
Arteriolsklerosis,pengerasan arteri kecil
Arthralgia,nyeri sendi
Asfiksia janin,bayi kekurangan oksigen
Asfiksia perinatal,kondisi bayi kekurangan oksigen saat persalinan
Aterosklerosis,penumpukan kerak lemak
Bakteremia,fase infeksi bakteri dalam darah
Benign paroxysmal positional vertigo,BPPV
Biopsi,pengambilan sampel
Blastoma,jenis kanker dari jaringan janin
Bronkodilator,obat pelega napas
Bronkopneumonia,radang paru-paru jenis bronkopneumonia
Bronkus,saluran udara
Bronkitis,radang saluran napas
Bronkitis kronis,radang saluran napas kronis
Burn out,stres berat karena pekerjaan
Candidiasis,infeksi jamur Candida
Cardioverter-defibrillators,alat implan
Cephalopelvic disproportion,kondisi kepala bayi terlalu besar untuk panggul ibu
Cerebral palsy,lumpuh otak
Central line,selang yang dimasukkan ke dada
CHF,gagal jantung
Cluster headache,sakit kepala cluster
Coital cephalgia,sakit kepala saat aktivitas seksual
Congestive heart failure,gagal jantung
Corynebacterium diphtheriae,penyebab difteri
CT scan,pemindaian paru
Daya tahan tubuh lemah,imun lemah
DBD,demam berdarah
Defibrillator kardioverter,alat untuk obati gangguan irama jantung
Defisiensi alfa-1-antitripsin,kelainan genetik langka
Dehidrasi,kekurangan cairan
Dekongestan,pelega hidung
Demam berdarah dengue,demam berdarah
Demam bone-breaking,demam pematah tulang
Demam rematik,demam rematik
Demam step-ladder,demam naik bertahap
Demam tifoid,penyakit tipes
Demensia,kepikunan
Dermatitis atopik,radang kulit
Destruksi,hancurnya
Diabetes,penyakit gula
Diabetes gestasional,penyakit gula pada ibu hamil
Diabetes mellitus tipe 2,penyakit gula tipe 2
Dialisis,cuci darah
Difteri,difteri
Dilatasi,melebar
Dislokasi lensa intraokular,pergeseran lensa buatan
Dismenore,nyeri haid
Dispepsia,gangguan pencernaan
Dispepsia fungsional,gangguan pencernaan tanpa sebab jelas
Dispepsia organik,gangguan pencernaan karena penyakit
Distosia,persalinan macet
Diuretik,obat diuretik
Divertikulum,kantung kecil pada dinding usus besar
Droplet,percikan air liur
Duodenum,usus dua belas jari
DVT,pembekuan darah di kaki
Efikasi,efektivitas
EEG,rekam gelombang otak
EKG,tes rekam jantung
Ekokardiogram,USG jantung
Ekspektoran,pengencer dahak
Ekstraksi gigi,cabut gigi
Elektrokardiogram,tes rekam jantung
Elektroensefalografi,rekam gelombang otak
Emfisema,kerusakan kantung udara paru
Enamel,lapisan luar gigi
Endemik,penyakit yang sering ada di suatu daerah
Endometriosis,lapisan dinding rahim tumbuh di luar rahim
Endometrium,sel lapisan rahim
Endoskopi,pemeriksaan teropong lambung
Endotoksin,bakteri dari debu
Ensefalopati tifoid,gangguan otak
Epilepsi,ayan
Episiotomy,sayatan yang sengaja dibuat dokter
Erosi,pengikisan
Esofagitis,radang kerongkongan
Esofagus,kerongkongan
Esofagus barrett,esofagus barrett
Etiologi,penyebab
Extracapsular surgery,operasi katarak biasa
Faktor genetik,faktor keturunan
Faktor geografi,faktor wilayah
Farmako rehabilitasi,terapi dengan obat-obatan
Faringitis,radang tenggorokan
Faringitis akut,radang tenggorokan
Fatigue,kelelahan berlebih
Feses,tinja
Fetal distress,gawat janin
Fibrilasi atrium,detak jantung tidak teratur
Fibromyalgia,nyeri otot kronis
Filtrasi,penyaringan
Fisioterapi,terapi fisik
Floaters,bintik-bintik melayang
Flossing,menggunakan benang gigi
Fotopsia,melihat kilatan cahaya
Ganglia basal,area di otak
Gastritis,radang lambung
Gastroenteritis,radang lambung-usus
Gastroesophageal reflux disease,naiknya asam lambung
Gentle birth,metode persalinan tenang
GERD,naiknya asam lambung
Gigi molar ketiga,gigi geraham bungsu
Glaukoma,masalah penglihatan
Glukosa,gula
Gold standard,pengobatan utama
Hemoptisis,batuk berdarah
Hepatitis B,Hepatitis B
Hernia,turun berok
Hernia nucleus pulposus,saraf terjepit
Hiperemesis gravidarum,mual muntah berlebih saat hamil
Hiperglikemia,gula darah tinggi
Hipersensitivitas,terlalu peka
Hipertensi,tekanan darah tinggi
Hipertrofi ventrikel kiri,pembesaran bilik kiri
Hipoglikemia,kekurangan gula darah
Hipotensi ortostatik,berkurangnya aliran darah ke kepala
Hipotiroidisme,masalah tiroid
HNP,saraf terjepit
Hypnobirthing,metode relaksasi saat persalinan
Hypnic headache,sakit kepala hipnik
IBS,gangguan iritasi usus besar
ICD,alat implan
ICU,ruang ICU
Implanted port,alat yang ditanam di bawah kulit
Imunomodulator,peningkat daya tahan tubuh
Impacted teeth,gigi impaksi
Infark cerebri,kematian sel otak
Infark miokard,serangan jantung
Infeksi nosokomial,infeksi rumah sakit
Infeksi saluran kemih,infeksi saluran kencing
Infeksi TORCH,infeksi TORCH
Inflamasi,radang
Inkontinensia urine,sulit menahan kencing
Insulin,hormon pengatur gula
Irigasi nasal,cuci hidung
Iskemia,kurangnya aliran darah
ISK,infeksi saluran kencing
ISPA,radang saluran napas akut
Janin,bayi
Jaringan embrio,jaringan janin
Kalkulus,karang gigi
Kandung kemih,kantung urine
Kantong kapsuler,tempat penahan lensa
Kaput suksedaneum,benjolan di kulit kepala bayi
Karies,gigi berlubang
Karies gigi,kerusakan gigi
Karsinogenik,penyebab kanker
Karsinoma,jenis kanker dari sel pelapis kulit
Katarak,katarak
Katarak hyper-mature,katarak yang terlalu keras
Katarak kongenital,katarak bawaan lahir
Kemoterapi,kemoterapi
Kemoterapi intraarterial,kemoterapi melalui pembuluh arteri
Kemoterapi intraperitoneal,kemoterapi di rongga perut
Kemoterapi intravena,kemoterapi infus
Kemoterapi oral,obat kemoterapi yang diminum
Kemoterapi topikal,kemoterapi bentuk krim
Keton,zat sisa dari pemecahan lemak
Kolitis,radang usus besar
Kolitis infeksius,radang usus besar akibat infeksi
Konjungtiva,selaput mata
Konjungtivitis,sakit mata merah
Konstipasi,sembelit
Kontraksi rahim,perut mulas dan kencang
Kontraksi uterus ritmik,kontraksi rahim teratur
Kontrasepsi,alat pencegah kehamilan
Korioamnionitis,infeksi di dalam rahim atau ketuban
Kornea,lapisan bening depan mata
Kortikosteroid,obat antiradang
Kortisol,hormon stres
Kultur,analisis di laboratorium
Kultur darah,kultur darah
Kultur feses,kultur tinja
Laringitis,radang pita suara
Lensa intraokular,lensa buatan
Leukemia dan limfoma,kanker darah
Ligamen,jaringan ikat
Lotus birth,metode membiarkan tali pusat terlepas alami
Low back pain,nyeri punggung bawah
Lumbago,nyeri punggung bawah
LVH,pembesaran bilik kiri
Makula,pusat penglihatan
Malaise,rasa tidak enak badan
Malignant neoplasma,tumor ganas
Malnutrisi,kekurangan gizi
Masa nifas,masa pemulihan setelah melahirkan
Meconium,tinja
Membran mukosa,selaput lendir
Membrane stripping,cara memisahkan kantung ketuban dari leher rahim
Mengi,napas berbunyi
Metastasis,proses penyebaran ke bagian tubuh lain
Meteorismus,kembung
Migrain,migrain
Mikrobiota usus,kumpulan kuman baik di usus
Mikroorganisme,kuman
Miopati,penyakit otot
Morning sickness,mual di pagi hari
Motorik halus,gerakan otot kecil
Moulase,tumpeng tindih tulang bayi
Mukolitik,pengencer dahak
Multiple sclerosis,radang saraf
Muntaber,muntaber
Muntah persisten,terus menerus muntah
Mutasi DNA,perubahan DNA
Myalgia,nyeri otot
Myalgia idiopatik,nyeri otot tanpa penyebab jelas
Narkotika,obat jenis narkotika
Nebulizer,alat uap
Nekrosis pulpa,matinya jaringan pulpa
Neoplasma,tumor
Neuroprotektor,obat penjaga fungsi otak
Non-insulin dependent diabetes mellitus,penyakit gula tipe 2
Nuliparitas,belum pernah melahirkan
Nutrisi,gizi
Nyeri epigastrium,nyeri ulu hati
Nyeri otot akut,nyeri otot tiba-tiba
Nyeri otot kronis,nyeri otot lama
OAINS,obat pereda nyeri
Obesitas,kegemukan
Obstruksi,penyumbatan
Ocular discharge,keluar cairan
Oftalmoskop,alat periksa mata
Oil pulling,berkumur dengan minyak kelapa
Oksitosin,obat perangsang kontraksi
Oral hygiene,kebersihan mulut
Organisme patogen,kuman
Otot LES,otot kerongkongan bawah
Pankreas,organ pankreas
Partus lama,persalinan lama
Pascamelahirkan,setelah melahirkan
Patofisiologi,perkembangan penyakit
Pemberantasan sarang nyamuk,program pemberantasan sarang nyamuk
Penyakit autoimun,penyakit imun menyerang tubuh sendiri
Penyakit jantung koroner,penyakit jantung koroner
Penyakit kardiovaskular,penyakit jantung
Penyakit menular seksual,penyakit menular seksual
Penyakit paru obstruktif kronis,penyakit paru kronis penghambat napas
Penyakit pembuluh darah perifer,gangguan pembuluh darah tepi
Penyakit step,step
Penyakit ulkus peptikum,luka lambung
Perdarahan intraserebral,pendarahan di dalam otak
Perdarahan subarachnoid,pendarahan di permukaan otak
Perdarahan usus,pendarahan usus
Periodontitis,infeksi ujung akar
Perikoronitis,radang gusi
Pertusis,batuk rejan
PICC,selang yang dimasukkan ke pembuluh darah lengan
Pielonefritis,infeksi ginjal
Pinkeye,pinkeye
PJK,penyakit jantung koroner
Plak,kerak lemak
Plak gigi,lapisan lengket bening
Plasma,cairan darah
Plasenta,ari-ari
Plasenta previa,kondisi saat ari-ari berada di bawah rahim
PMS,penyakit menular seksual
Pneumonia,radang paru-paru
Polidipsia,sering haus
Polifagia,sering lapar
Poliuria,sering kencing
PPOK,penyakit paru kronis penghambat napas
Posterior Capsule Opacification,katarak kedua
Post-partum,pasca-melahirkan
Progresif,dapat memburuk seiring waktu
Prokinetik,obat peredam gejala
Prostetik,buatan
Prostat,kelenjar pria di dekat kandung kemih
Psikoterapi,terapi kejiwaan
Ptosis,kelopak mata turun
Pulpa,bagian dalam gigi
Pulpitis,radang pulpa
Pulpitis ireversibel,radang pulpa parah
Radioterapi,terapi radiasi
Rapid diagnostic test,tes cepat
RDT,tes cepat
Refluks asam lambung,naiknya asam lambung
Rehabilitasi,pemulihan
Rehabilitasi medik,terapi pemulihan
Rekuren,kambuhan
Remisi,tanpa gejala
Resistensi,kebal
Resistensi insulin,sel tubuh kebal terhadap hormon pengatur gula
Respiratory tract infections,radang saluran napas
Retensi urine,kencing tertahan
Retina,lapisan saraf mata
Retinopati diabetik,kerusakan retina
Rinorea,pilek
Rubella,infeksi campak Jerman
Sakit kepala primer,sakit kepala primer
Sakit kepala sekunder,sakit kepala sekunder
Sakau,gejala putus obat
Saliva,air liur
Salmonelosis,infeksi Salmonella biasa
Sarkoma,jenis kanker yang dimulai di jaringan ikat
SARS-CoV-2,Virus penyebab COVID-19
Selang cannula,selang kanula
Sensitivitas,rasa ngilu
Sepsis,infeksi darah berat
Serotonin,zat kimia di otak
Serviks,leher rahim
Simtomatik,meredakan gejalanya
Sindrom dispepsia,sakit maag
Sindrom geriatri,masalah kesehatan seiring usia
Sindrom iritasi usus besar,gangguan iritasi usus besar
Sindrom kelelahan kronis,sindrom kelelahan kronis
Sindrom klinis,kumpulan gejala klinis
Sindrom syok dengue,syok dengue
Sinar-X,Rontgen
Sinusitis,radang sinus
Sistitis,infeksi kandung kemih
Sklera,bagian putih mata
Skrining,pemeriksaan kesehatan rutin
Skrining kehamilan,pemeriksaan awal
Sleep apnea,henti napas saat tidur
Slit-lamp,mikroskop dengan lampu dan kaca pembesar
Small incision cataract surgery,operasi katarak modern
Spirometri,tes fungsi paru
Spondylolisthesis,pergeseran tulang belakang
Stafilokokus,bakteri dari kulit
Streptococcus,bakteri penyebab radang tenggorokan
Stroke,stroke
Stroke embolik,stroke akibat gumpalan darah dari jantung
Stroke hemoragik,stroke pendarahan
Stroke infark,stroke sumbatan
Stroke iskemik,stroke sumbatan
Stroke lakunar,sumbatan di pembuluh darah kecil dalam otak
Stroke non-hemoragik,stroke non-pendarahan
Tartar,karang gigi
TB paru,TBC
Tension headache,sakit kepala tegang
Terapi Epley,terapi ubah posisi kepala
Terapi endovaskular,terapi dari dalam pembuluh darah
Terapi kelompok,diskusi kelompok
Terapi kognitif,terapi kemampuan berpikir
Terapi kognitif perilaku,terapi perilaku
Terapi okupasi,terapi okupasi
Terapi psikologis,terapi kejiwaan
Terapi rekreasional,terapi rekreasi
Terapi sel punca,terapi sel punca
Tes diagnostik,tes lanjutan
Tes urine,tes kencing
Tissue Plasminogen Activator,obat penghancur gumpalan
Tonsilektomi,operasi pengangkatan amandel
Tonsilitis,radang amandel
Toraks,dada
Toxoplasmosis,infeksi toxoplasma
TPA,obat penghancur gumpalan
Transplantasi,cangkok
Transplantasi jantung,cangkok jantung
Transplantasi mikrobiota feses,transplantasi tinja
Transplantasi sumsum tulang,cangkok sumsum tulang
Trauma,cedera
Trauma operasi,cedera saat operasi
Trombektomi,prosedur mengambil gumpalan dengan alat kecil
Trombosit,keping darah
Trombus,penyumbatan
Tuberkolosis,TBC
Uji tuberculin,tes kulit
Ulkus,luka
Ultrasonografi,gelombang suara
Upper respiratory tract infections,radang saluran napas atas
Uretra,lubang kencing
Uretritis,infeksi saluran kemih pembawa kencing
URI,radang saluran napas atas
URTI,radang saluran napas atas
Vagina,alat kelamin wanita
Vaksin pneumokokus,vaksin PCV
Vaksin pneumonia,vaksin radang paru
Vaksin tifoid,vaksin tipes
Vaksinasi,vaksinasi
Vaksinasi rotavirus,vaksin rotavirus
Ventilator,alat bantu napas
Ventrikel,bilik
Vertigo,pusing berputar
Vitalitas,kesehatan
Vokasional,terapi kejuruan
Water birth,melahirkan di dalam air